pktloss,kex_alg,min,25pct,median,95pct,max
0,p256-kyber512_90s,11.9867,12.210925,12.41605,13.26131,14.5435
0.5,p256-kyber512_90s,11.9896,12.3413,12.592849999999999,13.57416,3341.0327
1,p256-kyber512_90s,11.9926,12.279499999999999,12.55875,13.783414999999998,1223.8758
1.5,p256-kyber512_90s,11.997,12.381575000000002,12.636949999999999,13.924735,1598.7444
2,p256-kyber512_90s,11.9825,12.247599999999998,12.523050000000001,246.80042999999998,3389.8458
2.5,p256-kyber512_90s,12.0223,12.42845,12.733699999999999,1021.255425,3043.0615
3,p256-kyber512_90s,12.041,12.464749999999999,12.76655,1019.2680349999999,3424.6549
4,p256-kyber512_90s,12.0388,12.417874999999999,12.71645,1026.34996,3037.2109
5,p256-kyber512_90s,12.0375,12.506549999999999,12.8529,1034.68257,7687.3074
6,p256-kyber512_90s,12.0375,12.529100000000001,12.8879,1039.828915,8218.9102
7,p256-kyber512_90s,11.9865,12.562750000000001,12.88355,1037.84562,7301.251
8,p256-kyber512_90s,12.0087,12.65555,12.99895,1045.79117,7391.9738
9,p256-kyber512_90s,12.0198,12.662299999999998,13.037099999999999,1231.075065,12686.0629
10,p256-kyber512_90s,12.0321,12.728449999999999,13.150500000000001,1264.37569,19467.1337
11,p256-kyber512_90s,12.0999,12.75045,13.199449999999999,1272.2697149999997,12635.3108
12,p256-kyber512_90s,12.0844,12.768225000000001,13.20175,1685.5570549999995,50215.6882
13,p256-kyber512_90s,12.0246,12.583825,13.33755,2063.09294,15302.4929
14,p256-kyber512_90s,12.0237,12.880775,13.544350000000001,2045.2830999999996,14997.7031
15,p256-kyber512_90s,11.8171,12.161950000000001,12.60355,3042.673155,15308.6776
16,p256-kyber512_90s,11.8204,12.191175,12.8857,3043.2608899999996,13562.8869
17,p256-kyber512_90s,11.8038,12.243875,224.88025,3315.759054999999,15351.6225
18,p256-kyber512_90s,11.8162,12.269925,225.85725,3276.0364499999987,20157.3803
19,p256-kyber512_90s,11.8536,12.3208,226.38004999999998,3463.188049999997,36680.4934
20,p256-kyber512_90s,11.8097,12.2751,228.01139999999998,3565.417449999999,20003.6974
21,p256-kyber512_90s,12.0814,13.10685,246.1961,3737.485875,72283.1965
22,p256-kyber512_90s,12.0801,13.116575000000001,248.34120000000001,5052.758924999999,50751.3058
23,p256-kyber512_90s,12.0737,13.1451,252.3822,6515.045224999996,59351.1578
