Percentage served,Time in ms
0,1193.069
1,1193.173
2,1193.193
3,1193.325
4,1193.407
5,1193.466
6,1193.638
7,1193.656
8,1193.863
9,1194.325
10,1194.913
11,1195.292
12,1195.310
13,1195.325
14,1195.637
15,1195.994
16,1196.022
17,1196.022
18,1196.036
19,1196.228
20,1196.432
21,1196.445
22,1197.062
23,1232.905
24,1233.488
25,1233.625
26,1233.997
27,1234.175
28,1234.789
29,1234.873
30,1234.908
31,1234.919
32,1234.957
33,1235.022
34,1235.085
35,1235.095
36,1235.115
37,1235.126
38,1235.220
39,1235.249
40,1235.416
41,1235.417
42,1235.475
43,1235.511
44,1235.522
45,1235.558
46,1235.596
47,1235.645
48,1235.673
49,1235.691
50,1235.765
51,1235.765
52,1235.782
53,1235.796
54,1235.804
55,1235.843
56,1235.845
57,1235.858
58,1235.865
59,1235.882
60,1235.886
61,1235.894
62,1235.899
63,1235.918
64,1235.933
65,1235.942
66,1235.951
67,1236.025
68,1236.026
69,1236.044
70,1236.046
71,1236.068
72,1236.096
73,1236.125
74,1236.274
75,1236.295
76,1236.339
77,1236.344
78,1236.554
79,1236.626
80,1236.679
81,1236.693
82,1236.827
83,1236.859
84,1236.859
85,1236.914
86,1237.647
87,1238.491
88,1238.634
89,1238.846
90,1239.650
91,1239.802
92,1240.115
93,1240.644
94,1240.648
95,1241.134
96,1390.261
97,1393.836
98,1394.118
99,1394.529
100,1394.529
